ID;full_address;city;address;place;category
390161;Саранск, ул. Коваленко,19а, Торговый центр 'Глобус';Саранск;ул. Коваленко,19а;Торговый центр 'Глобус';Вне ВСП
390165;Потьма, 1-ая Вокзальная,4, РЖД;Потьма;1-ая Вокзальная,4;РЖД;Вне ВСП
390168;Саранск, ул. Красная, Ледовый Дворец Республики Мордовия;Саранск;ул. Красная;Ледовый Дворец Республики Мордовия;З/П
390172;Саранск, ш.Светотехников, 5, ГУП РМ Лисма;Саранск;ш.Светотехников, 5;ГУП РМ Лисма;З/П
390177;Торбеево, ул. Водная, 17, Административное здание ЗАО 'МПК Торбеевский';Торбеево;ул. Водная, 17;Административное здание ЗАО 'МПК Торбеевский';З/П
390187;Ударный, ул.Центральная,1, м-н'Нива-31';Ударный;ул.Центральная,1;м-н'Нива-31';Вне ВСП
390189;Кадошкино, ул. Заводская,1, Проходная ОАО 'КЭТЗ';Кадошкино;ул. Заводская,1;Проходная ОАО 'КЭТЗ';З/П
390192;Большие Березники, ул. Кооперативная,53, Магазин 'Солнечный';Большие Березники;ул. Кооперативная,53;Магазин 'Солнечный';Вне ВСП
390211;Б.Елховка, ул.Фабричная,58, м-н Конрой;Б.Елховка;ул.Фабричная,58;м-н Конрой;Вне ВСП
390220;Саранск, ул. Большевистская, 68а, МГУ;Саранск;ул. Большевистская, 68а;МГУ;З/П
390227;Тургенево, ул. Заводская,73, ОАО 'Ардатовский светотехнический завод';Тургенево;ул. Заводская,73;ОАО 'Ардатовский светотехнический завод';З/П
390229;Инсар, ул. Пугачева,9а, ОАО 'Неон';Инсар;ул. Пугачева,9а;ОАО 'Неон';З/П
390230;Инсар, ул. Свентера,57, Центральная районная больница;Инсар;ул. Свентера,57;Центральная районная больница;З/П
390235;Ковылкино, ул. Ленина,7, Поликлиника;Ковылкино;ул. Ленина,7;Поликлиника;З/П
390245;Парца, ул.Центральная, 7г, М-н Продукты;Парца;ул.Центральная, 7г;М-н Продукты;Вне ВСП
390247;Ковылкино, ул. Гагарина,33, Центральная районная больница;Ковылкино;ул. Гагарина,33;Центральная районная больница;З/П
390254;Ельники, ул. Королева,9а, Магазин 'Перекресток';Ельники;ул. Королева,9а;Магазин 'Перекресток';Вне ВСП
390255;Торбеево, ул. Больничная,38, Центральная районная больница;Торбеево;ул. Больничная,38;Центральная районная больница;З/П
390261;Саранск, ш. Лямбирское,10б, Земельная кадастровая палата РМ;Саранск;ш. Лямбирское,10б;Земельная кадастровая палата РМ;З/П
390264;Саранск, ул. Победы,18, Перинатальный центр;Саранск;ул. Победы,18;Перинатальный центр;З/П
390265;Зубова Поляна, ул. Советская,39а, Магазин 'София';Зубова Поляна;ул. Советская,39а;Магазин 'София';Вне ВСП
390266;Атяшево, ул. Рабочая,1, ЗАО 'МПК 'Атяшевский';Атяшево;ул. Рабочая,1;ЗАО 'МПК 'Атяшевский';З/П
390270;Саранск, ул. Строительная,13, Спорткомплекс 'Мордовия';Саранск;ул. Строительная,13;Спорткомплекс 'Мордовия';З/П
390271;Саранск, ул. Гожувская,24а, Торговый центр 'Дельфин';Саранск;ул. Гожувская,24а;Торговый центр 'Дельфин';Вне ВСП
390272;Рузаевка, ул. Титова,3, Универсам 'Магнит';Рузаевка;ул. Титова,3;Универсам 'Магнит';Вне ВСП
390273;Ичалки, ул.Махова,18, М-н Продукты;Ичалки;ул.Махова,18;М-н Продукты;Вне ВСП
390277;Саранск, ул. Комарова,2б,к. 1, Юго-Западный рынок;Саранск;ул. Комарова,2б,к. 1;Юго-Западный рынок;Вне ВСП
